dataset,k,seed,exact_distinct_authors,estimated_distinct_authors,relative_error,execution_time_seconds
article,64,0,2200876,3541615.1574979387,0.6091843236501915,211.471
article,128,0,2200876,2416387.6358545898,0.09792084417958566,211.471
article,256,0,2200876,2311471.198814735,0.05025053606597319,211.471
article,512,0,2200876,2252005.803871672,0.023231569553065295,211.471
book,64,0,20808,14714.2703677837,0.2928551341895569,211.471
book,128,0,20808,17335.226115468395,0.16689609210551737,211.471
book,256,0,20808,18946.08963692513,0.08948050572255233,211.471
book,512,0,20808,20205.481289253836,0.02895610874404865,211.471
incollection,64,0,81419,88687.91934331403,0.0892779246037661,211.471
incollection,128,0,81419,75760.3554467133,0.0695002954259656,211.471
incollection,256,0,81419,81986.29748341379,0.006967630201964969,211.471
incollection,512,0,81419,82725.24465697433,0.016043486863930204,211.471
inproceedings,64,0,2130704,3992547.654606622,0.8738161915529431,211.471
inproceedings,128,0,2130704,2793810.901469481,0.31121493246808624,211.471
inproceedings,256,0,2130704,2504394.194796464,0.17538343889928584,211.471
inproceedings,512,0,2130704,2328231.4052653187,0.09270523041460414,211.471
mastersthesis,64,0,21,21.0,0.0,211.471
mastersthesis,128,0,21,21.0,0.0,211.471
mastersthesis,256,0,21,21.0,0.0,211.471
mastersthesis,512,0,21,21.0,0.0,211.471
phdthesis,64,0,109843,91905.50175314174,0.16330124128855056,211.471
phdthesis,128,0,109843,86430.36866061817,0.21314632101619427,211.471
phdthesis,256,0,109843,98056.63870859437,0.10730188807120734,211.471
phdthesis,512,0,109843,96365.5752132687,0.12269716583424793,211.471
proceedings,64,0,18,18.0,0.0,211.471
proceedings,128,0,18,18.0,0.0,211.471
proceedings,256,0,18,18.0,0.0,211.471
proceedings,512,0,18,18.0,0.0,211.471
